"title","description","priority","labels","state"
"TC-012 Publish Listing Visibility","FR: Publier une annonce vendeur puis vérifier visibilité dans Mes annonces et dans le flux public. AR: نشر إعلان كبائع ثم التأكد من ظهوره في إعلاناتي وفي العرض العام.","P0","listing,publish,web,android","Ready"
"TC-013 Buyer Checkout Carrier Yalidine","FR: Acheter un produit avec Yalidine et vérifier frais estimés création commande et statut initial. AR: شراء منتج عبر ياليدين مع التحقق من رسوم التوصيل وإنشاء الطلب والحالة الأولية.","P0","order,shipment,checkout,yalidine","Ready"
"TC-014 Buyer Checkout Carrier ZR","FR: Acheter un produit avec ZR Express et vérifier estimation frais et succès commande. AR: شراء منتج عبر ZR Express مع التحقق من تقدير الرسوم ونجاح إنشاء الطلب.","P0","order,shipment,checkout,zr","Ready"
"TC-015 Buyer Checkout Carrier Ecotrack","FR: Acheter un produit avec Ecotrack et vérifier données livraison et confirmation. AR: شراء منتج عبر Ecotrack مع التحقق من بيانات التوصيل والتأكيد النهائي.","P0","order,shipment,checkout,ecotrack","Ready"
"TC-016 Buyer Checkout Carrier Guepex","FR: Acheter un produit avec Guepex et vérifier estimation frais et statut commande. AR: شراء منتج عبر Guepex مع التحقق من الرسوم التقديرية وحالة الطلب.","P0","order,shipment,checkout,guepex","Ready"
"TC-017 Seller Generate Bordereau","FR: Dans Mes ventes générer le bordereau pour une commande éligible et vérifier absence d erreur. AR: في مبيعاتي توليد البورديرو لطلب مؤهل والتأكد من عدم وجود خطأ.","P0","shipment,order,bordereau","Ready"
"TC-018 Seller Open Label PDF","FR: Ouvrir label depuis Mes ventes et vérifier ouverture PDF sans page noire. AR: فتح الملصق من صفحة المبيعات والتأكد من فتح PDF بدون شاشة سوداء.","P0","shipment,label-pdf,web,android","Ready"
"TC-019 Notifications FR AR","FR: Vérifier notifications commandes offres messages en FR et AR sans clés techniques visibles. AR: التحقق من إشعارات الطلبات والعروض والرسائل بالفرنسية والعربية دون مفاتيح تقنية ظاهرة.","P0","notifications,order,i18n-fr,i18n-ar","Ready"
"TC-020 Historique Retours","FR: Vérifier historique des retours côté vendeur avec statuts et timeline cohérents. AR: التحقق من سجل الإرجاعات عند البائع مع حالات وتسلسل زمني متناسق.","P1","order,shipment,returns","Ready"
"TC-021 Web Browser Back Navigation","FR: Tester bouton retour navigateur sur pages profil chat annonces pour éviter écran bloqué ou route cassée. AR: اختبار زر الرجوع في المتصفح داخل الصفحات المختلفة لتجنب التجمّد أو مسار مكسور.","P0","web,routing,auth","Ready"
"TC-022 Language Persistence","FR: Changer langue FR AR puis redémarrer app et vérifier conservation du choix. AR: تغيير اللغة بين الفرنسية والعربية ثم إعادة تشغيل التطبيق والتحقق من حفظ الاختيار.","P1","i18n-fr,i18n-ar,android,web","Ready"
"TC-023 Profile Update Save","FR: Modifier nom téléphone wilaya commune langue puis sauvegarder et recharger la page pour vérifier persistance. AR: تعديل الاسم والهاتف والولاية والبلدية واللغة ثم الحفظ وإعادة التحميل للتحقق من الاستمرارية.","P1","profile,web,android","Ready"
"TC-024 Chat Send Receive","FR: Envoyer message entre acheteur et vendeur et vérifier réception instantanée compteur et historique. AR: إرسال رسالة بين المشتري والبائع والتحقق من الاستلام الفوري والعداد وسجل المحادثة.","P0","chat,order,web,android","Ready"
"TC-025 Offer Flow","FR: Créer une offre côté acheteur puis accepter ou refuser côté vendeur et vérifier notifications associées. AR: إنشاء عرض من طرف المشتري ثم قبوله أو رفضه من طرف البائع مع التحقق من الإشعارات المرتبطة.","P0","offer,order,notifications","Ready"
"TC-026 Notification Filters and Read Status","FR: Tester filtres notifications catégories et non lues puis marquer comme lues. AR: اختبار فلاتر الإشعارات حسب الفئات وغير المقروءة ثم تعليمها كمقروءة.","P1","notifications,web,android","Ready"
"TC-027 Seller Dashboard Metrics","FR: Vérifier cartes dashboard vendeur commandes revenus profit et cohérence avec données réelles. AR: التحقق من بطاقات لوحة البائع للطلبات والإيرادات والربح ومطابقة الأرقام مع البيانات الحقيقية.","P1","seller-dashboard,order,web,android","Ready"
"TC-028 Mes Ventes Actions","FR: Vérifier actions Mes ventes arranger livraison supprimer ouvrir label et états après action. AR: التحقق من إجراءات صفحة المبيعات مثل ترتيب التوصيل والحذف وفتح الملصق وحالة الطلب بعد كل إجراء.","P0","order,shipment,web,android","Ready"
"TC-029 Courier Settings 4 Carriers","FR: Valider configuration tokens comptes et validation API pour Yalidine ZR Ecotrack Guepex. AR: التحقق من إعدادات حسابات الناقلين والرموز واختبار API لكل من ياليدين وZR وEcotrack وGuepex.","P0","shipment,courier-settings,yalidine,zr,ecotrack,guepex","Ready"
"TC-030 HTTPS and Callback Health","FR: Vérifier liens app api www en HTTPS et callback auth reset sans page vide ni mixed content. AR: التحقق من روابط التطبيق والواجهة البرمجية والموقع عبر HTTPS ومسار إعادة التوجيه دون صفحة فارغة أو محتوى مختلط.","P0","web,auth,security,ops","Ready"
